Movie Name,Year of Release,Watch Time,Movie Rating,Metascore of movie,Gross,Votes,Description,Ids,TMDB_Id,TMDB_Genre,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,SciFi,TV,Thriller,War,Western,Bad Words
The Shawshank Redemption,1994,142,9.3,82.0,28.34,"27,77,378","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","(278, [18, 80])",278.0,"[18, 80]",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100
The Godfather,1972,175,9.2,100.0,134.97,"19,33,588","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","(238, [18, 80])",238.0,"[18, 80]",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20
The Dark Knight,2008,152,9.0,84.0,534.86,"27,54,087","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","(155, [18, 28, 80, 53])",155.0,"[18, 28, 80, 53]",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5
Schindler's List,1993,195,9.0,95.0,96.9,"13,97,886","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","(424, [18, 36, 10752])",424.0,"[18, 36, 10752]",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,16
12 Angry Men,1957,96,9.0,97.0,4.36,"8,24,211",The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,"(389, [18])",389.0,[18],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
The Lord of the Rings: The Return of the King,2003,201,9.0,94.0,377.85,"19,04,166",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"(122, [12, 14, 28])",122.0,"[12, 14, 28]",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Godfather Part II,1974,202,9.0,90.0,57.3,"13,14,609","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","(240, [18, 80])",240.0,"[18, 80]",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11
Spider-Man: Across the Spider-Verse,2023,140,8.9,86.0,15,"1,98,031","Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.","(569094, [16, 28, 12])",569094.0,"[16, 28, 12]",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Pulp Fiction,1994,154,8.9,95.0,107.93,"21,31,189","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","(680, [53, 80])",680.0,"[53, 80]",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,283
Inception,2010,148,8.8,74.0,292.58,"24,44,816","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","(27205, [28, 878, 12])",27205.0,"[28, 878, 12]",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
Fight Club,1999,139,8.8,67.0,37.03,"22,12,960",An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,"(550, [18])",550.0,[18],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,105
The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92.0,315.54,"19,32,439",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"(120, [12, 14, 28])",120.0,"[12, 14, 28]",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Forrest Gump,1994,142,8.8,82.0,330.25,"21,60,038","The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.","(13, [35, 18, 10749])",13.0,"[35, 18, 10749]",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,35
"Il buono, il brutto, il cattivo",1966,161,8.8,90.0,6.1,"7,84,276",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"(429, [37])",429.0,[37],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
The Lord of the Rings: The Two Towers,2002,179,8.8,87.0,342.55,"17,18,332","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","(121, [12, 14, 28])",121.0,"[12, 14, 28]",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jai Bhim,2021,164,8.8,8.10909090909091,219,"2,08,742","When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.","(855400, [80, 18, 9648])",855400.0,"[80, 18, 9648]",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6
777 Charlie,2022,136,8.8,8.072222222222223,,"35,870",Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.,"(634120, [12, 35, 18])",634120.0,"[12, 35, 18]",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Oppenheimer,2023,180,8.7,88.0,29,"2,66,774","The story of American scientist, J. Robert Oppenheimer, and his role in the development of the atomic bomb.","(872585, [18, 36])",872585.0,"[18, 36]",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-1
Interstellar,2014,169,8.7,74.0,188.02,"19,56,197","When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.","(157336, [12, 18, 878])",157336.0,"[12, 18, 878]",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,16
GoodFellas,1990,145,8.7,92.0,46.84,"12,05,052","The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.","(769, [18, 80])",769.0,"[18, 80]",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,189
One Flew Over the Cuckoo's Nest,1975,133,8.7,84.0,112,"10,37,205","In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.","(510, [18])",510.0,[18],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,90
The Matrix,1999,136,8.7,73.0,171.48,"19,76,616","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","(603, [28, 878])",603.0,"[28, 878]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30
Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,82.0,290.48,"13,33,333","After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.","(1891, [12, 28, 878])",1891.0,"[12, 28, 878]",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1
Rocketry: The Nambi Effect,2022,157,8.7,8.072222222222223,,"54,505","Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against the officials who falsely implicated him.","(607145, [18, 28, 36])",607145.0,"[18, 28, 36]",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,13
Soorarai Pottru,2020,153,8.7,8.088888888888889,,"1,20,200","Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.","(595228, [18, 28])",595228.0,"[18, 28]",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,154
Se7en,1995,127,8.6,65.0,100.13,"17,18,303","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","(807, [80, 9648, 53])",807.0,"[80, 9648, 53]",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,97
Saving Private Ryan,1998,169,8.6,91.0,216.54,"14,38,634","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","(857, [18, 36, 10752])",857.0,"[18, 36, 10752]",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,50
The Silence of the Lambs,1991,118,8.6,86.0,130.74,"14,81,889","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","(274, [80, 18, 53])",274.0,"[80, 18, 53]",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,26
Terminator 2: Judgment Day,1991,137,8.6,75.0,204.84,"11,34,147","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.","(280, [28, 53, 878])",280.0,"[28, 53, 878]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,45
The Green Mile,1999,189,8.6,61.0,136.8,"13,49,946","A tale set on death row in a Southern jail, where gentle giant John possesses the mysterious power to heal people's ailments. When the lead guard, Paul, recognizes John's gift, he tries to help stave off the condemned man's execution.","(497, [14, 18, 80])",497.0,"[14, 18, 80]",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,56
Star Wars,1977,121,8.6,90.0,322.74,"14,05,392","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.","(11, [12, 28, 878])",11.0,"[12, 28, 878]",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Cidade de Deus,2002,130,8.6,79.0,7.56,"7,77,054","In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","(598, [18, 80])",598.0,"[18, 80]",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,66
Sen to Chihiro no kamikakushi,2001,125,8.6,96.0,10.06,"8,01,486","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts.","(129, [16, 10751, 14])",129.0,"[16, 10751, 14]",0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
La vita è bella,1997,116,8.6,59.0,57.6,"7,17,512","When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.","(637, [35, 18])",637.0,"[35, 18]",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19
Shichinin no samurai,1954,207,8.6,98.0,0.27,"3,55,780","Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.","(346, [28, 18])",346.0,"[28, 18]",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38
It's a Wonderful Life,1946,130,8.6,89.0,21,"4,76,152",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,"(1585, [18, 10751, 14])",1585.0,"[18, 10751, 14]",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Seppuku,1962,133,8.6,85.0,47,"62,597","When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.","(76659, [27])",76659.0,[27],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sita Ramam,2022,163,8.6,8.072222222222223,,"61,758","An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her.","(894803, [10749, 18])",894803.0,"[10749, 18]",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4
The Prestige,2006,130,8.5,66.0,53.09,"13,82,402","After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","(1124, [18, 9648, 878])",1124.0,"[18, 9648, 878]",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3
Back to the Future,1985,116,8.5,87.0,210.61,"12,53,518","Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.","(105, [12, 35, 878])",105.0,"[12, 35, 878]",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24
Gisaengchung,2019,132,8.5,96.0,53.37,"8,73,956",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,"(None, None)",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Gladiator,2000,155,8.5,67.0,187.71,"15,50,619",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"(98, [28, 18, 12])",98.0,"[28, 18, 12]",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
The Departed,2006,151,8.5,85.0,132.38,"13,69,934",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"(1422, [18, 53, 80])",1422.0,"[18, 53, 80]",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,302
Alien,1979,117,8.5,89.0,78.9,"9,12,280",The crew of a commercial spacecraft encounters a deadly lifeform after investigating an unknown transmission.,"(348, [27, 878])",348.0,"[27, 878]",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,29
Whiplash,2014,106,8.5,89.0,13.09,"9,20,655",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,"(244786, [18, 10402])",244786.0,"[18, 10402]",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,109
Léon,1994,110,8.5,64.0,19.5,"12,00,839","12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.","(101, [80, 18, 28])",101.0,"[80, 18, 28]",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,62
The Pianist,2002,150,8.5,85.0,32.57,"8,67,989",A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,"(423, [18, 10752])",423.0,"[18, 10752]",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,13
The Usual Suspects,1995,106,8.5,77.0,23.34,"11,12,608",The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,"(629, [18, 80, 53])",629.0,"[18, 80, 53]",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,99
The Lion King,1994,88,8.5,88.0,422.78,"10,97,285","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","(420818, [12, 18, 10751, 16])",420818.0,"[12, 18, 10751, 16]",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
American History X,1998,119,8.5,62.0,6.72,"11,51,761","Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps.","(73, [18])",73.0,[18],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,209
Hotaru no haka,1988,89,8.5,94.0,46,"2,91,861",A young boy and his little sister struggle to survive in Japan during World War II.,"(76826, [18])",76826.0,[18],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
The Intouchables,2011,112,8.5,57.0,13.18,"8,90,758","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","(77338, [18, 35])",77338.0,"[18, 35]",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38
Psycho,1960,109,8.5,97.0,32,"6,93,868","A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.","(539, [27, 18, 53])",539.0,"[27, 18, 53]",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Casablanca,1942,102,8.5,100.0,1.02,"5,88,497",A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,"(289, [18, 10749])",289.0,"[18, 10749]",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Once Upon a Time in the West,1968,165,8.5,82.0,5.32,"3,39,755",A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,"(335, [18, 37])",335.0,"[18, 37]",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13
Rear Window,1954,112,8.5,100.0,36.76,"5,05,881","A photographer in a wheelchair spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.","(567, [53, 9648])",567.0,"[53, 9648]",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Nuovo Cinema Paradiso,1988,155,8.5,80.0,11.99,"2,71,463",A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,"(11216, [18, 10749])",11216.0,"[18, 10749]",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7
City Lights,1931,87,8.5,99.0,0.02,"1,90,158","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.","(901, [35, 10749, 18])",901.0,"[35, 10749, 18]",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Modern Times,1936,87,8.5,96.0,0.16,"2,50,746",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,"(3082, [35, 18])",3082.0,"[35, 18]",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
96,2018,158,8.5,8.028571428571428,,"33,646",Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.,"(441717, [10749])",441717.0,[10749],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Memento,2000,113,8.4,83.0,25.54,"12,77,091",A man with short-term memory loss attempts to track down his wife's murderer.,"(77, [9648, 53])",77.0,"[9648, 53]",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,99
